Time,floRed.conFlo,floRed.desFlo[1],floRed.draFlo[1]
0,0.315,0,0
4,0.315,0,0
8,0.315,0,0
12,0.315,0,0
16,0.315,0,0
20,0.315,0,0
24,0.315,0,0
28,0.315,0,0
30,0.315,0,0
30,0.315,0,0
30,0.315,1.5873e-09,1.5873e-09
30,0.315,1.5873e-09,1.5873e-09
32,0.315,0.021,0.021
36,0.315,0.063,0.063
40,0.315,0.105,0.105
44,0.315,0.147,0.147
48,0.315,0.189,0.189
52,0.315,0.231,0.231
56,0.315,0.273,0.273
60,0.315,0.315,0.314999
64,0.315,0.357,0.314999
68,0.315,0.399,0.314999
72,0.315,0.441,0.314999
76,0.315,0.483,0.314999
80,0.315,0.525,0.314999
84,0.315,0.567,0.314999
88,0.315,0.609,0.314999
90,0.315,0.63,0.314999
90,0.315,0.63,0.314999
92,0.315,0.63,0.314999
96,0.315,0.63,0.314999
100,0.315,0.63,0.314999
104,0.315,0.63,0.314999
108,0.315,0.63,0.314999
112,0.315,0.63,0.314999
116,0.315,0.63,0.314999
120,0.315,0.63,0.314999
120,0.315,0.63,0.314999
124,0.315,0.5964,0.314999
128,0.315,0.5628,0.314999
132,0.315,0.5292,0.314999
136,0.315,0.4956,0.314999
140,0.315,0.462,0.314999
144,0.315,0.4284,0.314999
148,0.315,0.3948,0.314999
152,0.315,0.3612,0.314999
156,0.315,0.3276,0.314999
160,0.315,0.294,0.294
164,0.315,0.2604,0.2604
168,0.315,0.2268,0.2268
172,0.315,0.1932,0.1932
176,0.315,0.1596,0.1596
180,0.315,0.126,0.126
180,0.315,0.126,0.126
184,0.315,0.126,0.126
188,0.315,0.126,0.126
192,0.315,0.126,0.126
196,0.315,0.126,0.126
200,0.315,0.126,0.126
