Time,nonCondensingTanklessHeater.HeatExchanger.T_Out
0,20
9.93497,20
9.93497,20
9.95375,20
9.95375,20
10,20.1176
20,32.1015
30,38.3049
40,43.1099
50,46.8025
60,49.6307
70,51.8085
80,53.4976
90,54.8095
100,55.8239
110,56.6043
120,57.2044
129.946,57.673
129.946,57.673
129.965,57.6691
129.965,57.6691
130,57.6665
140,57.5877
150,57.509
159.993,57.4164
159.993,57.4164
160,57.4144
170,54.4754
179.907,51.564
179.907,51.564
180,51.5541
189.914,51.4834
189.914,51.4834
189.921,51.4793
189.921,51.4793
190,51.5844
200,53.4469
210,54.5511
220,55.3727
230,56.0114
240,56.5003
250,56.8756
260,57.164
270,57.3853
280,57.5555
290,57.686
300,57.7864
310,57.8635
320,57.9227
330,57.9683
340,58.0034
350,58.0304
360,58.0512
370,58.0672
380,58.0797
390,58.0893
400,58.0968
410,58.1026
420,58.1072
430,58.1108
440,58.1137
450,58.116
460,58.1179
470,58.1195
480,58.1208
490,58.1218
500,58.1227
510,58.1235
520,58.1241
530,58.1247
540,58.1253
550,58.1258
560,58.1262
570,58.1267
580,58.1271
590,58.1275
600,58.128
610,58.1284
620,58.1288
630,58.1292
640,58.1296
650,58.1299
660,58.1303
670,58.1307
680,58.1311
690,58.1315
700,58.1319
710,58.1322
720,58.1326
730,58.133
740,58.1334
750,58.1337
760,58.1341
770,58.1345
780,58.1349
789.979,58.1838
789.979,58.1838
789.986,58.1823
789.986,58.1823
790,58.1822
800,58.1023
810,58.0226
820,57.943
830,57.8636
840,57.7843
850,57.7053
860,57.6264
870,57.5476
880,57.469
890,57.3906
900,57.3124
910,57.2343
920,57.1564
930,57.0786
940,57.001
950,56.9236
960,56.8463
970,56.7692
980,56.6922
990,56.6154
1000,56.5388
1000,56.5388
